low: 551328
mid: 116888
high: 243807


no  id    low mid high max overall
375 429 3 0 1  3 low
376 430 0 0 3  3 high
377 431 2 2 1  2 mid
378 432 2 0 1  2 low
379 433 2 1 0  2 low
380 434 4 1 1  4 low
381 435 4 2 2  4 low
382 436 11 5 5  11 low
383 437 10 5 4  10 low
384 438 2 2 0  2 mid
385 440 5 0 1  5 low
386 441 7 2 6  7 low
387 442 6 1 2  6 low
388 445 6 2 9  9 high
389 446 5 1 4  5 low
390 447 7 2 3  7 low
391 448 15 2 7  15 low
392 449 6 0 2  6 low
393 450 3 1 1  3 low
394 451 3 2 0  3 low
395 452 3 1 0  3 low
396 453 7 1 2  7 low
397 454 4 3 1  4 low
398 455 13 5 11  13 low
399 456 14 6 6  14 low
400 457 1 0 0  1 low
401 458 9 6 4  9 low
402 459 7 1 3  7 low
403 460 14 4 1  14 low
404 461 7 3 7  7 high
405 462 3 2 1  3 low
406 464 9 2 1  9 low
407 465 6 3 11  11 high
408 466 9 2 2  9 low
409 467 3 1 0  3 low
410 468 12 3 6  12 low
411 469 17 5 5  17 low
412 470 7 1 1  7 low
413 471 11 5 9  11 low
414 472 7 7 0  7 mid
415 473 6 3 5  6 low
416 474 10 3 6  10 low
417 475 15 9 10  15 low
418 476 7 5 10  10 high
419 477 15 3 4  15 low
420 479 5 2 2  5 low
421 480 7 3 2  7 low
422 481 3 1 1  3 low
423 483 10 1 1  10 low
424 484 6 1 3  6 low
425 485 6 0 2  6 low
426 486 6 2 1  6 low
427 487 5 3 2  5 low
428 491 8 3 4  8 low
429 492 4 2 2  4 low
430 493 12 6 6  12 low
431 494 1 0 1  1 high
432 495 5 2 8  8 high
433 496 6 0 2  6 low
434 497 5 0 0  5 low
435 498 8 4 5  8 low
436 499 9 1 0  9 low
437 500 4 5 3  5 mid
438 501 9 0 2  9 low
439 502 4 3 1  4 low
440 504 1 1 2  2 high
441 505 3 1 0  3 low
442 506 9 2 2  9 low
443 508 6 3 3  6 low
444 509 2 0 3  3 high
445 510 5 0 0  5 low
446 511 27 8 18  27 low
447 512 11 3 5  11 low
448 514 11 2 3  11 low
449 515 5 2 1  5 low
450 516 2 1 2  2 high
451 517 4 1 0  4 low
452 518 3 2 1  3 low
453 519 7 0 2  7 low
